Screen Size (In.),RAM (GB),Weight (Kg),Price (Sonic Rings),ManufacturerLabel,CategoryLabel,ScreenLabel,CPULabel,StorageLabel,GPULabel
17.3,24,4.33,11283948.0,3,2,14,84,17,83
12.5,8,1.3,9772308.0,11,5,10,62,8,42
15.6,8,2.17,7993018.8,11,4,9,98,16,55
14.0,8,1.48,15552108.0,8,4,9,91,12,48
13.3,8,1.4,8438508.0,11,4,16,53,16,48
15.6,8,2.3,8100612.0,11,4,16,68,16,48
11.6,4,1.2,3023280.0,3,3,1,35,33,38
15.6,8,1.91,5504059.08,8,4,1,68,16,5
13.9,8,1.4,14218308.0,11,1,14,76,16,55
14.0,4,2.1,2658708.0,11,4,1,35,25,38
11.6,4,1.25,2356380.0,11,3,1,34,7,36
13.3,8,1.44,8438508.0,11,4,9,68,16,48
15.6,8,2.0,10883808.0,3,4,9,89,17,48
15.6,4,2.2,5450796.0,1,4,16,76,9,90
13.3,8,1.34,11764116.0,8,5,16,89,28,48
15.6,8,2.4,10216908.0,11,2,16,94,17,72
13.3,8,1.29,7993908.0,5,5,14,68,3,48
15.6,4,2.2,5681988.0,1,4,9,89,25,66
15.6,8,2.18,7433712.0,5,4,9,68,9,48
15.6,16,2.2,10841482.08,5,4,9,98,19,6
15.6,16,1.95,12448355.4,19,4,16,98,16,90
11.6,2,1.1,2178540.0,3,3,1,35,22,38
15.6,4,2.04,4636911.24,8,4,35,76,9,55
15.6,24,2.24,26391456.0,3,2,9,94,28,88
15.6,8,2.04,7904988.0,8,4,9,68,16,63
17.3,16,3.0,13373568.0,3,2,9,94,17,86
15.6,8,3.2,12439908.0,11,2,16,94,17,72
13.3,8,1.32,12439908.0,8,5,16,89,16,48
14.0,8,1.64,11379359.16,5,4,9,71,16,48
15.6,4,1.63,6126588.0,8,4,1,50,3,42
17.3,8,2.8,7904988.0,5,4,16,76,4,6
14.0,8,2.02,11915280.0,11,4,9,62,16,42
15.6,4,2.2,7104708.0,11,4,9,89,9,60
15.6,8,2.2,4081428.0,11,4,1,50,21,61
15.6,4,2.3,5201820.0,5,4,9,68,25,21
15.6,8,1.9,12244284.0,5,4,9,72,16,48
17.3,16,4.42,26789550.84,5,2,16,94,4,73
15.6,8,2.0,7647120.0,17,4,16,68,25,48
15.6,8,2.0,11550708.0,3,4,13,89,17,82
13.3,4,1.2,3281148.0,13,4,16,38,24,38
15.6,8,2.3,14662908.0,3,2,16,70,4,72
15.6,8,1.93,12173148.0,5,4,9,91,16,63
15.6,8,2.2,7090569.72,5,4,9,76,16,6
15.6,4,1.86,3547819.08,8,4,9,102,16,37
17.3,12,2.62,15996708.0,8,2,9,94,9,72
14.0,8,1.87,7638228.0,11,4,16,89,16,66
13.3,8,1.2,12439908.0,5,5,31,98,16,55
14.0,4,1.6,6543356.04,5,4,9,50,3,42
13.3,8,1.34,10181340.0,8,5,22,89,16,48
15.6,8,2.4,7095816.0,1,2,9,70,9,68
15.6,4,2.0,3103308.0,3,4,1,17,25,12
15.6,4,2.1,6273306.0,8,4,9,53,3,48
14.0,4,1.87,6980220.0,11,4,9,68,25,48
15.6,4,2.15,4111216.2,11,4,9,62,9,42
15.6,4,1.86,3530124.0,8,4,9,50,25,42
15.6,8,1.99,15374268.0,11,4,16,89,28,48
15.6,4,2.2,4437108.0,11,4,9,50,3,42
15.6,8,1.9,9932275.08,5,4,9,68,16,48
17.3,16,4.42,23999508.0,5,2,16,94,17,73
17.3,8,2.65,4838581.8,8,4,3,50,9,42
17.3,8,2.63,11381760.0,8,4,9,89,9,63
15.6,4,2.0,1991808.0,3,4,1,35,25,38
13.3,4,1.35,2267460.0,13,4,16,28,22,35
17.3,6,2.8,8438508.0,11,4,3,89,4,66
15.6,6,1.91,5058658.8,8,4,16,3,3,6
15.6,4,2.18,5494366.8,5,4,1,50,9,19
11.6,4,1.25,3103308.0,1,1,14,36,22,38
15.6,4,2.05,5601960.0,11,4,9,54,3,48
13.3,16,1.16,17472780.0,8,5,20,41,28,41
17.3,8,3.4,26667108.0,11,4,16,94,16,98
15.6,8,2.5,7460388.0,3,4,9,70,4,68
13.3,8,1.21,14218308.0,5,5,12,76,3,55
15.6,4,1.93,8527428.0,5,4,1,71,25,48
15.6,8,2.2,6571188.0,6,4,1,68,9,48
15.6,4,2.2,3058848.0,11,4,9,103,25,39
14.0,4,2.02,8803080.0,11,4,1,68,25,48
17.3,8,3.14,16547923.08,8,6,3,72,25,92
14.0,8,1.94,3458988.0,8,4,1,102,21,37
15.6,6,1.95,5770908.0,8,4,16,15,16,6
15.6,8,2.3,7380360.0,11,4,9,68,16,48
15.6,4,2.05,6091020.0,11,4,9,76,25,48
14.0,4,1.4,2214108.0,13,4,9,28,24,35
14.0,16,1.24,16583580.0,17,5,8,89,28,48
17.3,32,4.6,23679396.0,11,2,16,85,17,73
17.3,16,4.14,24266268.0,12,2,9,95,29,73
15.6,8,2.2,6660196.92,5,4,9,89,16,21
14.0,4,1.45,3458988.0,13,4,16,38,24,38
15.6,8,1.9,8967759.84,5,4,1,71,25,48
13.3,4,1.49,6393348.0,8,4,9,53,3,48
15.6,16,1.93,13670471.88,5,4,9,91,16,63
11.6,4,1.26,2623140.0,5,3,1,34,6,36
17.3,16,4.5,20887308.0,12,2,9,85,4,85
17.3,16,3.78,13320216.0,8,2,16,94,17,68
14.0,12,1.4,14876316.0,11,5,16,83,16,42
15.6,12,2.2,5415228.0,11,4,35,98,9,48
17.3,8,2.73,15738840.0,3,2,16,70,4,72
15.6,8,2.2,6571188.0,3,1,35,68,9,42
15.6,12,2.2,8438508.0,11,4,9,6,28,6
11.6,4,1.39,5361876.0,5,1,35,42,3,47
15.6,16,2.5,15107508.0,16,4,9,94,4,68
17.3,4,2.8,4703868.0,11,4,9,50,25,42
15.6,8,2.29,4081428.0,11,4,1,52,9,42
13.3,8,1.37,18006300.0,11,1,14,89,28,48
14.0,8,1.7,13106808.0,11,4,16,70,16,49
12.5,8,1.34,14849640.0,5,1,8,68,16,48
15.6,8,2.06,15676596.0,5,6,8,94,16,97
15.6,8,1.84,10839348.0,8,4,9,89,16,48
15.6,4,2.1,5944124.16,8,4,1,53,25,48
14.0,4,1.6,2925468.0,1,4,9,38,22,38
17.3,16,4.14,19553508.0,12,2,9,85,4,84
15.6,4,2.18,4134780.0,5,4,1,50,9,19
15.6,16,1.8,20442708.0,12,2,7,94,19,72
15.6,8,2.2,12439908.0,17,4,16,81,16,42
15.6,6,2.4,5015088.0,11,4,9,68,9,48
15.6,8,2.0,11550708.0,11,1,14,94,16,49
14.0,4,1.6,3103308.0,1,4,1,102,1,37
15.6,32,2.5,43561908.0,11,4,13,106,12,95
15.6,16,2.59,7816156.92,5,2,9,84,9,81
15.6,4,2.18,3947158.8,5,4,1,48,9,42
15.6,4,2.25,3192228.0,5,4,1,48,9,42
15.6,4,1.93,7727148.0,5,4,1,71,25,48
17.3,8,3.0,10385856.0,3,2,9,94,4,68
15.6,4,2.18,5059548.0,5,4,9,68,3,19
15.6,8,1.84,12350988.0,8,5,9,89,28,48
15.6,16,2.94,20165811.12,12,2,9,94,17,73
11.6,4,1.25,3370068.0,1,1,28,37,22,36
14.0,8,2.31,9994608.0,8,4,1,71,16,48
14.0,8,1.65,13026780.0,11,4,9,62,16,42
15.6,4,2.2,6900192.0,5,4,9,76,9,6
15.6,8,2.2,7104708.0,6,4,1,68,16,48
15.6,4,1.88,8287344.0,8,4,1,62,25,42
15.6,8,2.2,7993908.0,11,4,9,89,9,60
14.0,2,1.4,2125188.0,13,4,9,28,22,35
15.6,4,2.2,4161456.0,11,4,9,68,3,48
13.3,6,1.5,5682076.92,3,1,8,68,9,48
15.6,8,2.0,16183440.0,5,4,9,94,16,68
14.0,16,1.1,16894800.0,3,5,9,89,28,48
15.6,16,2.62,13151268.0,5,2,9,94,17,69
15.6,4,1.8,7371468.0,11,4,9,76,16,55
15.6,4,2.2,5148468.0,11,4,9,50,9,61
15.6,8,2.0,3547908.0,3,4,1,35,9,38
15.6,8,1.99,8061665.04,3,4,9,70,9,68
13.3,8,1.23,16619148.0,5,5,31,76,16,55
14.0,2,1.42,2214108.0,11,4,1,34,22,36
13.3,8,1.37,15626978.64,11,1,14,89,16,48
15.6,16,2.06,21331908.0,5,4,6,94,12,68
15.6,8,2.5,9861228.0,11,2,16,94,4,70
17.0,8,2.6,4631842.8,8,4,3,14,9,16
14.0,16,1.14,21785400.0,11,5,16,89,28,48
15.6,8,2.5,10394748.0,3,2,16,94,9,69
15.6,4,2.4,4001400.0,1,4,1,50,25,42
14.0,4,1.43,2436408.0,11,4,1,34,22,35
14.0,8,1.8,8171748.0,1,5,16,68,16,34
14.0,16,1.95,23110308.0,15,2,9,94,16,72
13.3,8,1.2,10785996.0,17,4,9,62,16,42
12.5,8,1.36,14084928.0,11,5,16,89,16,48
17.3,32,3.8,24888708.0,3,2,16,85,28,75
15.6,8,2.4,6304428.0,1,2,9,70,9,68
13.3,8,1.2,12892510.8,5,5,9,76,16,55
15.6,8,2.2,10597485.6,12,2,9,94,4,69
15.6,4,1.86,3244690.8,8,4,1,50,25,42
15.6,8,2.0,9461088.0,17,4,16,68,25,48
15.6,8,2.2,8171748.0,5,4,9,98,16,6
15.6,16,2.2,10092420.0,5,4,9,98,19,6
15.6,8,3.31,10634832.0,11,2,16,84,4,80
17.3,32,4.42,27986414.04,5,2,13,94,29,73
14.0,8,1.56,10928268.0,5,4,9,65,16,42
15.6,4,2.2,3725748.0,11,4,1,35,25,38
15.6,4,2.2,4757220.0,11,4,9,62,25,42
15.6,6,2.04,4792788.0,8,4,4,50,9,21
17.3,8,2.7,13220358.84,12,2,9,94,4,72
15.6,4,2.1,4428216.0,17,4,1,51,3,42
15.6,8,2.06,8491860.0,5,4,9,68,9,48
15.6,8,2.1,6624540.0,8,4,9,89,9,6
15.6,8,2.0,11186136.0,17,4,16,68,16,48
15.6,4,2.1,3663504.0,1,4,1,50,3,42
13.5,8,1.252,16608922.2,14,5,36,91,16,52
15.6,8,1.9,7273211.4,11,4,9,68,4,21
13.3,8,1.3,9194328.0,11,1,14,68,16,48
15.6,4,2.2,3103308.0,11,4,1,20,3,12
14.0,4,1.63,6215508.0,8,1,14,53,3,66
15.6,16,2.4,11506248.0,12,2,9,94,17,68
14.0,8,1.1,10092420.0,3,5,9,68,16,48
11.6,8,1.4,4401540.0,8,1,35,35,33,38
15.6,8,1.09,20442708.0,10,5,16,98,28,48
15.6,16,2.5,11550708.0,1,2,9,70,16,69
15.6,8,2.2,8873326.8,12,2,9,70,16,68
15.6,4,1.86,3725748.0,3,4,1,35,3,38
15.6,16,3.21,18237492.0,5,2,9,70,4,72
17.3,4,2.5,6215508.0,8,4,16,50,16,18
13.3,8,1.19,13329108.0,11,1,14,98,28,55
15.6,16,3.49,25019865.0,5,2,9,95,17,73
15.6,4,1.86,5447328.12,8,4,1,68,25,5
15.6,4,2.2,4852097.64,5,4,1,50,9,21
17.3,6,2.65,5059548.0,8,4,16,1,21,25
15.6,4,2.1,2827656.0,11,4,1,31,25,40
14.0,4,1.45,3334500.0,1,4,1,31,22,40
14.0,4,1.7,6215508.0,11,4,9,68,16,48
17.3,8,3.14,16965847.08,8,6,9,94,25,92
14.0,8,1.42,23030280.0,11,1,38,89,16,48
13.3,8,1.5,8651916.0,17,4,16,68,16,48
11.6,4,1.4,2391948.0,1,3,1,32,22,35
14.0,16,1.38,15552108.0,11,1,8,89,28,48
12.5,4,1.2,5948748.0,3,1,8,43,33,41
13.3,16,1.36,16690284.0,17,5,8,81,28,42
15.6,4,2.1,6126588.0,8,4,16,89,25,6
15.6,8,2.56,7282548.0,5,2,9,70,9,68
15.6,4,2.2,3547908.0,11,4,9,13,16,6
15.6,8,2.2,3814668.0,11,4,1,6,9,22
15.6,4,2.1,5525933.4,11,4,9,68,10,48
15.6,4,1.9,4001400.0,11,4,1,50,25,42
15.6,8,2.18,7069140.0,5,4,9,68,16,48
13.3,8,1.6,8883108.0,1,1,14,76,16,55
15.6,16,2.18,16494660.0,11,6,9,81,28,96
14.0,8,1.8,10590372.0,11,4,9,64,16,42
17.3,6,2.71,5824348.92,8,4,16,2,21,6
15.6,8,2.5,11106108.0,11,2,16,94,4,69
14.0,8,1.64,9683388.0,5,4,9,72,16,63
15.6,8,1.98,6455592.0,5,4,9,68,9,48
14.0,4,1.5,2649816.0,3,4,9,35,22,38
15.6,16,1.93,12685860.72,5,4,9,71,28,48
14.0,8,1.87,7621066.44,11,4,16,68,16,60
15.6,8,1.9,10483668.0,5,4,9,71,16,48
15.6,4,2.19,2649816.0,11,4,1,8,25,14
14.0,4,1.4,2356380.0,13,4,17,26,23,36
17.3,8,2.63,10670400.0,8,4,9,89,16,63
14.0,8,1.17,14997602.88,11,5,21,81,28,42
13.3,8,1.58,7439047.2,8,1,28,68,16,48
14.0,8,1.32,13329108.0,11,5,16,68,16,48
17.3,32,4.36,32539384.8,5,2,7,94,13,73
17.3,8,2.7,11990684.16,12,2,9,94,4,69
15.6,4,1.9,4356190.8,11,4,1,68,9,48
15.6,8,2.2,6393348.0,5,4,9,76,4,6
13.3,4,1.71,5770908.0,5,1,8,53,9,48
15.6,8,2.32,5242011.84,5,4,1,68,9,26
15.6,4,2.1,4348188.0,8,4,9,14,9,5
17.3,16,4.2,17206020.0,1,2,16,84,4,72
15.6,12,2.25,5770908.0,5,4,1,68,9,48
15.6,6,2.1,5779800.0,8,4,9,15,4,5
15.6,4,2.4,4970628.0,1,4,1,68,25,48
13.3,8,1.44,8536320.0,11,4,16,68,16,48
15.6,4,1.85,6926868.0,11,4,9,89,9,48
15.6,16,2.6,21509748.0,8,6,9,94,16,94
13.3,8,1.55,5859828.0,5,1,8,76,9,55
15.6,16,1.8,18624116.16,12,2,9,94,17,72
15.6,4,2.4,3652833.6,1,4,1,50,25,42
15.6,8,2.0,10732644.0,5,4,9,89,4,66
15.6,8,2.0,5913180.0,5,4,1,50,16,42
14.0,8,1.25,13649220.0,17,4,14,68,16,48
14.0,8,1.7,8883108.0,11,1,8,68,16,48
15.6,16,2.5,29334708.0,11,6,13,91,12,96
14.0,2,1.68,2934360.0,1,4,1,34,22,36
13.3,16,0.81,14662908.0,16,5,9,89,16,48
15.6,8,1.86,4792788.0,8,4,9,50,16,42
14.0,8,1.6,10018705.32,5,4,1,68,16,48
17.3,16,3.0,39026988.0,8,6,16,105,16,93
11.6,4,1.4,4223700.0,11,3,35,34,3,36
15.6,8,1.84,16894800.0,8,4,9,65,16,42
15.6,4,2.45,5148468.0,3,4,1,64,9,79
14.0,4,1.7,9745632.0,11,5,9,62,8,42
15.6,4,2.37,7557310.8,3,4,1,89,16,48
13.3,8,1.3,10661508.0,11,1,20,63,16,45
15.6,8,2.2,9772308.0,8,4,16,70,4,68
15.6,8,2.59,13880412.0,8,6,9,84,16,91
15.6,16,4.42,25511059.08,5,2,13,94,17,73
15.6,4,2.1,5326308.0,1,4,1,68,16,48
15.6,8,2.5,9318816.0,11,2,16,94,4,68
12.5,16,1.18,16530228.0,5,5,9,91,16,48
12.3,8,1.1,13862628.0,7,5,37,75,16,47
13.3,8,1.2,10039068.0,3,5,22,68,16,48
13.3,4,1.65,7549308.0,5,4,1,50,25,42
13.3,4,1.6,5824260.0,1,4,1,62,3,42
17.3,4,2.8,4182263.28,3,4,1,103,9,60
15.6,16,2.72,9772308.0,5,2,27,84,4,82
13.3,8,1.31,14218308.0,16,5,8,89,16,48
15.6,4,2.1,2649816.0,1,4,1,103,9,39
15.6,16,2.3,10503852.84,5,4,9,89,16,26
15.0,16,1.71,15996708.0,16,1,8,89,16,7
14.0,4,1.75,9069840.0,17,4,10,62,3,42
15.6,8,2.62,9772308.0,5,2,9,94,9,68
12.5,4,1.26,11061648.0,8,5,1,62,16,42
15.6,12,2.3,7460388.0,3,1,8,89,21,66
15.6,16,2.5,21074040.0,11,4,7,86,28,93
14.0,4,1.8,5655312.0,1,4,16,53,3,48
14.0,16,1.95,25777908.0,15,2,9,94,28,72
15.6,8,2.0,5174254.8,3,4,4,101,3,39
17.3,32,4.42,31911609.6,5,2,16,94,13,74
17.3,16,4.3,20896200.0,3,2,16,84,17,73
14.0,16,1.47,15685488.0,17,5,16,83,28,62
15.6,8,2.2,2925468.0,11,4,1,39,9,37
14.0,16,1.7,20442708.0,11,5,9,89,28,48
14.0,16,1.6,16814772.0,12,2,16,94,17,72
15.6,8,2.2,9683388.0,12,2,9,70,4,68
15.6,4,2.4,8883108.0,11,2,16,94,9,68
17.3,16,4.2,20442708.0,1,2,16,94,17,72
15.6,8,2.62,8758620.0,5,2,9,70,16,68
15.6,8,2.24,11906388.0,3,2,9,94,4,87
14.0,4,1.22,1804186.8,18,4,4,35,22,38
13.3,8,1.37,17517240.0,11,1,14,89,28,48
15.6,8,2.08,8527428.0,11,1,8,68,16,27
12.0,8,0.92,10359180.0,2,5,23,40,27,44
14.0,8,1.42,20718360.0,11,1,30,68,16,48
14.0,4,1.63,2658708.0,3,4,1,35,22,38
15.6,8,1.95,7202520.0,5,4,1,68,3,48
13.9,8,1.38,11995308.0,11,1,14,89,16,48
15.6,8,2.0,6571188.0,5,4,9,50,16,20
15.6,8,3.14,18361090.8,8,6,9,94,16,94
15.6,8,2.37,9772308.0,3,4,9,68,16,48
13.3,8,1.29,13329108.0,5,5,9,68,16,48
15.6,8,2.06,15552108.0,5,4,6,70,16,68
11.6,4,1.63,6615648.0,5,3,1,103,3,39
12.5,8,1.26,12350988.0,8,3,1,71,16,48
15.6,4,2.1,6935760.0,17,4,1,62,25,42
15.6,8,2.04,5593068.0,8,4,1,4,21,23
15.6,16,2.62,14929668.0,5,2,7,94,28,69
15.6,4,2.4,5415228.0,11,4,9,68,9,59
17.3,12,3.74,15552108.0,8,2,16,94,9,33
17.3,16,2.9,21474180.0,12,2,9,94,29,73
13.3,8,0.81,13329108.0,16,5,9,68,16,48
15.6,8,1.98,8545212.0,5,4,9,89,9,67
15.6,8,2.18,7022990.52,5,4,9,68,16,19
14.0,8,1.32,16530228.0,11,5,9,89,16,48
12.5,16,1.29,15996708.0,15,5,12,88,28,48
11.6,4,1.23,3423420.0,8,3,1,34,6,36
17.3,16,4.36,22274637.84,5,2,16,94,4,72
14.0,4,1.76,6713460.0,5,4,1,62,25,42
15.6,4,2.1,4356190.8,11,4,1,50,25,42
14.0,4,1.25,9692280.0,17,5,1,68,3,48
14.0,8,1.13,22221108.0,11,5,16,89,28,48
15.6,8,2.4,10661508.0,12,2,9,70,16,68
14.0,8,1.13,16672500.0,11,5,16,68,15,48
14.0,4,1.75,4437108.0,17,4,1,100,3,40
13.3,8,1.1,12075336.0,3,1,33,68,16,48
14.0,4,1.76,5201820.0,5,4,1,50,25,42
11.6,4,1.35,3156660.0,1,3,10,34,22,36
14.0,8,1.5,5504148.0,1,4,16,53,3,48
17.3,32,3.49,48897108.0,15,2,6,95,28,75
14.0,16,1.1,18664308.0,11,5,21,83,28,42
15.6,4,2.1,4614948.0,3,4,9,68,9,58
14.0,8,1.7,10545912.0,11,4,9,62,16,42
14.0,8,1.32,14671800.0,11,4,16,71,16,48
15.6,16,3.21,24672009.96,5,2,9,94,17,73
17.3,16,2.9,21509748.0,3,2,9,94,17,73
15.6,4,2.0,5948748.0,17,4,1,53,25,48
14.0,4,1.5,2889900.0,11,4,1,37,6,36
15.6,8,2.3,5246280.0,3,4,9,68,2,48
17.3,16,2.73,15996708.0,3,2,9,84,29,72
17.3,32,4.42,27324137.88,5,2,16,94,29,73
17.3,8,2.63,8091720.0,8,4,3,68,9,63
15.6,8,2.18,6348799.08,5,4,1,68,3,48
14.0,8,1.54,16628040.0,8,5,9,81,28,42
15.6,4,2.18,6571188.0,5,4,9,89,16,19
11.6,4,1.4,5468580.0,8,1,35,35,22,38
13.3,8,1.45,9123192.0,3,5,16,62,28,65
13.3,8,1.28,20247084.0,8,1,8,68,16,48
14.0,8,1.54,13053456.0,8,5,9,81,28,42
15.6,4,1.86,2658708.0,8,4,1,34,3,36
15.6,16,2.1,16885908.0,3,2,9,94,4,72
17.3,8,2.83,7691580.0,5,4,9,89,9,26
14.0,8,1.96,16921476.0,11,5,16,94,16,67
15.6,8,2.3,6998004.0,3,4,16,89,16,76
15.6,8,1.9,8402940.0,5,4,9,68,3,48
15.6,4,2.0,3992508.0,3,4,1,103,9,39
13.3,8,1.28,22754628.0,8,1,8,91,16,48
13.3,8,1.62,5770908.0,5,4,8,62,9,42
15.6,4,2.2,4170348.0,11,4,9,48,9,42
15.6,8,2.3,7564068.72,11,4,16,68,9,48
15.6,8,1.84,11995308.0,8,4,9,71,16,28
13.3,4,1.05,11426220.0,17,4,9,68,3,48
15.6,8,2.5,9043164.0,11,2,16,70,9,68
13.3,16,1.29,19918080.0,5,5,31,92,28,52
15.6,4,2.07,8091720.0,8,4,9,62,25,42
13.3,8,1.2,9736740.0,17,5,1,62,16,42
13.3,8,1.37,17339400.0,11,1,14,89,16,48
14.0,8,1.56,8020584.0,1,4,16,68,16,48
15.6,8,2.23,15809976.0,5,6,9,94,9,97
15.6,4,2.38,9381060.0,11,4,1,68,25,48
15.6,4,2.2,4259268.0,11,4,9,50,9,21
15.6,8,2.0,12342096.0,17,4,16,89,16,48
13.3,4,1.44,6535620.0,11,4,16,53,8,48
15.0,16,1.23,16441308.0,16,5,9,89,16,66
12.5,8,1.6,15027480.0,5,5,9,91,16,48
15.6,4,2.0,3547819.08,3,4,1,103,9,39
13.3,8,1.28,8314020.0,19,5,16,62,16,66
15.6,4,2.18,8113950.0,5,4,9,68,4,66
15.6,4,2.04,7460388.0,8,4,9,68,16,48
13.3,4,1.28,15116400.0,8,1,8,68,16,48
15.6,4,2.3,6089241.6,8,1,35,68,25,48
14.1,4,1.65,3094416.0,3,4,1,35,22,38
15.6,8,2.2,5948748.0,11,4,16,81,9,66
15.6,4,2.2,3281148.0,5,4,1,102,25,35
13.3,4,1.28,15996708.0,8,1,8,68,16,48
15.6,4,2.18,4052084.4,5,4,1,48,9,20
17.3,12,2.2,12181150.8,3,2,9,70,4,68
11.6,4,1.25,2640924.0,1,3,10,34,22,36
17.3,4,2.8,3370068.0,11,4,3,7,25,13
14.0,4,1.95,11248380.0,8,4,9,68,3,48
13.3,16,1.42,12439908.0,8,1,31,89,16,48
15.0,8,1.17,15107508.0,16,5,9,89,16,48
14.0,8,1.32,15996708.0,11,5,16,68,16,48
17.3,16,2.43,23554908.0,12,2,13,84,31,72
13.3,8,1.05,13115700.0,17,4,9,68,16,48
15.6,8,2.62,8260668.0,5,2,9,94,9,71
15.6,8,2.04,8002800.0,8,4,9,89,9,63
15.6,4,2.18,5459688.0,5,4,1,48,9,20
15.6,8,1.9,8314020.0,5,4,9,71,25,48
13.3,8,1.24,17900485.2,5,1,31,97,28,47
17.3,32,3.58,11372868.0,3,2,16,85,18,85
13.3,16,1.22,14662908.0,5,1,8,97,16,47
14.0,8,1.13,18219708.0,11,5,16,89,15,48
15.6,8,1.95,17454907.08,11,4,16,68,28,48
15.6,16,1.08,18664308.0,10,5,14,89,28,48
12.5,8,1.26,13186836.0,8,3,9,89,28,48
15.6,4,2.2,3192228.0,1,4,16,30,6,35
15.6,8,2.6,7015788.0,11,4,16,64,4,82
14.0,8,0.98,16885908.0,10,5,14,89,28,48
14.0,8,1.6,10714860.0,5,4,9,72,16,48
12.5,8,1.09,27565200.0,8,5,6,41,14,41
15.6,6,2.2,7015788.0,11,4,9,89,16,66
15.6,8,2.04,9060859.08,8,4,9,89,16,63
15.6,4,2.4,4437108.0,1,4,9,53,9,48
13.3,4,1.44,7833852.0,11,4,9,68,3,48
13.3,8,1.49,8536320.0,8,4,9,68,16,48
17.3,16,2.7,14218308.0,12,2,9,94,17,69
15.6,16,2.6,11995308.0,5,2,9,94,4,69
15.6,8,2.2,9958239.72,12,2,9,70,4,68
15.6,4,2.18,6090931.08,5,4,1,68,9,19
15.6,8,1.84,11532835.08,8,5,9,81,16,24
13.3,8,1.39,10216908.0,8,5,31,89,16,48
15.6,16,2.4,17561700.0,17,4,16,83,16,62
13.3,8,1.37,16227900.0,11,1,14,68,28,48
15.6,4,1.95,6490270.8,5,4,1,62,25,42
12.5,8,1.36,14671800.0,11,5,16,89,16,48
15.6,8,2.31,10359180.0,8,4,9,62,16,42
15.6,4,2.18,6296069.52,5,4,1,68,9,48
14.0,4,1.95,10216908.0,8,4,1,62,25,42
15.6,4,2.2,2747628.0,11,4,1,103,9,39
12.5,4,1.26,14040468.0,8,5,9,62,25,42
15.6,4,1.86,2568898.8,8,4,1,34,9,36
13.3,16,1.3,15996708.0,11,1,20,82,12,50
14.0,4,1.47,9825660.0,17,4,16,62,3,42
12.5,8,1.26,14840748.0,8,3,9,62,16,42
15.6,4,2.18,4967071.2,5,4,1,48,9,42
15.6,8,2.2,10661508.0,12,2,9,94,4,68
14.0,8,1.36,14573988.0,5,5,9,68,16,48
17.3,16,4.36,24524136.0,5,2,5,85,29,75
17.3,8,2.75,12439908.0,8,2,16,64,4,83
17.3,4,2.8,4712760.0,3,4,3,102,9,60
15.6,4,2.23,5504148.0,1,4,1,68,25,48
15.6,8,2.2,9950148.0,17,4,1,62,16,42
11.3,8,1.1,11550708.0,11,1,14,47,16,41
15.6,16,2.5,8883108.0,11,2,16,22,29,29
12.5,8,1.36,13090802.4,5,5,8,68,16,35
15.6,8,2.2,6091020.0,11,4,9,89,9,60
17.3,4,2.36,5859828.0,5,4,3,48,9,26
14.0,4,1.68,3103308.0,1,4,1,34,22,36
15.6,8,2.0,19998108.0,8,6,16,86,36,91
14.0,8,1.36,15783300.0,5,5,9,91,16,48
13.3,8,1.2,12982320.0,17,4,9,62,16,42
12.5,8,1.2,10305828.0,3,1,9,44,33,41
14.0,8,1.7,13240099.08,11,5,16,83,16,42
17.3,16,4.36,28045368.0,5,2,13,94,29,73
13.3,8,1.24,16885908.0,5,1,8,74,16,47
11.6,4,1.45,6891300.0,8,1,35,103,16,39
13.3,8,1.3,11275056.0,5,5,32,81,16,42
11.6,4,1.25,3458988.0,1,1,28,34,22,36
13.3,8,1.2,13649220.0,17,4,9,65,16,42
12.5,8,1.36,15649920.0,11,5,16,71,16,48
15.6,12,2.4,8972028.0,1,4,9,68,4,79
12.5,8,1.1,15916680.0,17,5,8,89,28,48
15.6,8,2.04,7527078.0,8,4,1,67,9,63
15.6,4,2.25,4140293.04,5,4,1,48,9,21
15.6,4,1.9,7335900.0,5,4,1,68,25,48
15.6,4,2.04,6091020.0,8,4,9,53,25,48
17.3,32,4.42,28000908.0,5,2,16,94,17,73
15.6,6,2.4,6179940.0,11,4,9,68,16,60
13.3,16,1.22,16885908.0,5,1,31,97,28,47
14.0,8,1.5,17454818.16,5,5,38,83,16,42
17.3,32,4.42,24897600.0,5,2,9,84,17,73
14.0,8,1.95,10492560.0,17,4,9,62,16,42
17.3,16,2.73,18227710.8,3,2,9,94,17,72
15.6,8,2.04,8705268.0,8,4,16,69,4,63
14.0,4,1.7,8909784.0,11,4,1,62,26,42
