CPU,RAM (GB),Storage,GPU,CPULabel,StorageLabel,GPULabel
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,27,1,22
Intel Core M 6Y30 0.9GHz,8,512GB SSD,Intel HD Graphics 515,19,19,21
Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,25,6,26
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,14,17,17
Intel Celeron Dual Core N3050 1.6GHz,2,500GB HDD,Intel HD Graphics,13,17,16
Intel Core i7 6700HQ 2.6GHz,8,1TB HDD,Nvidia GeForce GTX 960M,38,6,46
AMD A9-Series 9410 2.9GHz,6,1TB Hybrid,AMD Radeon R7 M440,6,7,13
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,41,6,11
Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,14,15,17
Intel Core i7 6500U 2.5GHz,4,500GB HDD,Nvidia GeForce 920M,36,17,30
Intel Core i7 6500U 2.5GHz,4,128GB SSD,Intel HD Graphics 520,36,1,22
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,36,19,22
Intel Celeron Dual Core N3050 1.6GHz,2,64GB Flash Storage,Intel HD Graphics,13,22,16
Intel Core i7 6500U 2.5GHz,6,1TB HDD,AMD Radeon R5 M330,36,6,10
Intel Celeron Dual Core N3050 1.6GHz,4,500GB HDD,Intel HD Graphics,13,17,16
Intel Core M 6Y30 0.9GHz,8,512GB SSD,Intel HD Graphics 515,19,19,21
Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,25,6,26
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,14,17,17
Intel Celeron Dual Core N3050 1.6GHz,2,500GB HDD,Intel HD Graphics,13,17,16
Intel Core i7 6700HQ 2.6GHz,8,1TB HDD,Nvidia GeForce GTX 960M,38,6,46
AMD A9-Series 9410 2.9GHz,6,1TB Hybrid,AMD Radeon R7 M440,6,7,13
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,41,6,11
Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,14,15,17
Intel Core i7 6500U 2.5GHz,4,500GB HDD,Nvidia GeForce 920M,36,17,30
Intel Core i7 6500U 2.5GHz,4,128GB SSD,Intel HD Graphics 520,36,1,22
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,36,19,22
Intel Celeron Dual Core N3050 1.6GHz,2,64GB Flash Storage,Intel HD Graphics,13,22,16
Intel Core i7 6500U 2.5GHz,6,1TB HDD,AMD Radeon R5 M330,36,6,10
Intel Celeron Dual Core N3050 1.6GHz,4,500GB HDD,Intel HD Graphics,13,17,16
Intel Core M 6Y30 0.9GHz,8,512GB SSD,Intel HD Graphics 515,19,19,21
Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,25,6,26
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,14,17,17
Intel Celeron Dual Core N3050 1.6GHz,2,500GB HDD,Intel HD Graphics,13,17,16
Intel Core i7 6700HQ 2.6GHz,8,1TB HDD,Nvidia GeForce GTX 960M,38,6,46
AMD A9-Series 9410 2.9GHz,6,1TB Hybrid,AMD Radeon R7 M440,6,7,13
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,41,6,11
Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,14,15,17
Intel Core i7 6500U 2.5GHz,4,500GB HDD,Nvidia GeForce 920M,36,17,30
Intel Core i7 6500U 2.5GHz,4,128GB SSD,Intel HD Graphics 520,36,1,22
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,36,19,22
Intel Celeron Dual Core N3050 1.6GHz,2,64GB Flash Storage,Intel HD Graphics,13,22,16
Intel Core i7 6500U 2.5GHz,6,1TB HDD,AMD Radeon R5 M330,36,6,10
Intel Celeron Dual Core N3050 1.6GHz,4,500GB HDD,Intel HD Graphics,13,17,16
