CPU,RAM (GB),Storage,GPU,Price (Sonic Rings),CPULabel,StorageLabel,GPULabel
Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,6242184.0,54,16,89
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,8438508.0,76,16,55
AMD A6-Series A6-9220 2.5GHz,8,128GB SSD,AMD Radeon R4 Graphics,3964942.8,11,3,15
Intel Core i7 8550U 1.8GHz,16,1TB HDD,Nvidia GeForce MX150,9416628.0,98,9,90
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,22221108.0,94,29,73
Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia GeForce GTX 1050M,15107508.0,94,28,70
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,10154664.0,98,4,6
Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,3948048.0,50,16,42
Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel HD Graphics 620,6420024.0,76,25,48
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,5842044.0,68,9,48
Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R5 M430,5023980.0,68,9,21
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,7104708.0,76,16,55
Intel Core i7 8550U 1.8GHz,8,512GB SSD +  512GB SSD,Intel UHD Graphics 620,13329108.0,98,32,55
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,4152564.0,68,9,48
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce 930MX ,9052056.0,98,9,64
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,7824960.0,98,16,55
Intel Core i5 2.9GHz,8,512GB SSD,Intel Iris Graphics 550,17418538.8,60,28,51
AMD Ryzen 1700 3GHz,16,256GB SSD +  1TB HDD,AMD Radeon RX 580,13773708.0,25,17,33
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,6536242.44,98,16,5
Intel Core i7 6600U 2.6GHz,16,512GB SSD,Intel HD Graphics 520,22221108.0,83,28,42
Intel Core i7 6500U 2.5GHz,8,500GB HDD,Nvidia GeForce 930M,7220304.0,81,25,62
Intel Core i7 7500U 2.7GHz,12,1TB HDD,Intel HD Graphics 620,6340618.44,89,9,48
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,9772308.0,98,4,6
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX130,6624540.0,98,9,89
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,4348188.0,50,9,42
Intel Core i7 8550U 1.8GHz,8,2TB HDD,Nvidia GeForce MX150,7549308.0,98,21,90
Intel Core i7 7500U 2.7GHz,6,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,7638228.0,89,4,66
Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R5 M430,3805776.0,48,9,21
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,7371468.0,70,16,68
Intel Core i5 7200U 2.5GHz,6,256GB SSD,Intel HD Graphics 620,5148468.0,68,16,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,8456292.0,98,16,90
Intel Core i7 7500U 2.7GHz,12,1TB HDD,Intel HD Graphics 620,5859828.0,89,9,48
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 630,9754524.0,89,16,49
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,8687484.0,68,16,66
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,10483668.0,94,17,69
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 940MX,5859916.92,89,9,66
Intel Celeron Dual Core 3205U 1.5GHz,2,16GB SSD,Intel HD Graphics,1769508.0,30,7,35
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,10554804.0,94,9,68
Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,4348188.0,50,9,42
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,16263468.0,94,16,68
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,6571188.0,76,16,55
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1060,11550708.0,94,9,72
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,8705268.0,94,16,69
Intel Core i7 7820HQ 2.9GHz,16,256GB SSD,Nvidia Quadro M1200,25652175.12,96,16,92
AMD A10-Series 9600P 2.4GHz,6,1TB HDD,AMD Radeon R5 430,4437108.0,1,9,17
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Nvidia GeForce 940MX,13053456.0,89,28,66
Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,4526028.0,53,3,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,18868824.0,94,17,73
Intel Core i5 7200U 2.5GHz,6,1TB HDD,Nvidia GeForce GTX 940M,5770908.0,68,9,77
Intel Core i5 7200U 2.5GHz,8,2TB HDD,Nvidia GeForce 940MX,4881708.0,68,21,66
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11248380.0,94,4,69
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,3201031.08,103,9,39
Intel Core i7 7600U 2.8GHz,16,256GB SSD,Intel HD Graphics 620,17561700.0,91,16,48
Intel Core i7 6500U 2.5GHz,8,256GB SSD,Nvidia GeForce 930M,9274356.0,81,16,62
Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,7282548.0,68,4,66
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,4170348.0,50,9,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8883108.0,68,16,48
Intel Core i7 8550U 1.8GHz,16,1TB SSD,Intel UHD Graphics 620,22221108.0,98,12,55
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,18664308.0,94,17,73
AMD A8-Series 7410 2.2GHz,8,256GB SSD,AMD Radeon R5,4170348.0,12,16,16
Intel Celeron Dual Core N3350 1.1GHz,2,32GB Flash Storage,Intel HD Graphics 500,2445300.0,35,22,38
Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,7504848.0,76,4,6
Intel Core i7 8550U 1.8GHz,16,1TB SSD,Intel UHD Graphics 620,21776508.0,98,12,55
Intel Celeron Dual Core 3855U 1.6GHz,4,16GB Flash Storage,Intel HD Graphics 510,4089430.8,31,6,40
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8714160.0,68,16,48
Intel Pentium Quad Core N3710 1.6GHz,4,128GB Flash Storage,Intel HD Graphics 405,4312620.0,102,1,37
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,11488464.0,89,16,48
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,5237388.0,68,9,60
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,9727848.0,89,16,48
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,8020584.0,98,9,55
AMD A12-Series 9720P 2.7GHz,8,256GB SSD,AMD Radeon RX 540,5859828.0,5,16,30
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2596464.0,35,22,38
Intel Core i5 7200U 2.5GHz,6,1TB HDD,Intel HD Graphics 620,4881708.0,68,9,48
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,9335710.8,89,16,66
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,11870820.0,89,16,48
Intel Core i7 7700HQ 2.8GHz,32,1TB SSD,Nvidia GeForce GTX 1050,23465988.0,94,12,68
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,10661508.0,94,17,69
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8385156.0,68,16,48
Intel Core i7 7500U 2.7GHz,8,256GB SSD +  1TB HDD,Intel HD Graphics 620,11861928.0,89,17,48
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3992508.0,50,9,42
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,8883108.0,94,16,68
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,11275056.0,71,16,48
Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,9327708.0,76,4,66
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,10172448.0,68,16,48
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,2445211.08,35,9,38
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 940MX,10161333.0,76,16,66
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics,2444410.8,34,25,35
AMD A12-Series 9720P 3.6GHz,12,2TB HDD,AMD Radeon 530,7993908.0,6,21,6
Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 930MX ,6366672.0,53,9,64
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,18664308.0,98,28,55
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,14040468.0,98,16,55
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,10039068.0,94,19,69
Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,2480868.0,34,22,36
Intel Core i7 8650U 1.9GHz,16,512GB SSD +  256GB SSD,Intel UHD Graphics 620,14297980.32,99,30,55
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,3334500.0,35,22,38
Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 530,5895396.0,76,9,6
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,18027818.64,94,28,68
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,11595168.0,89,16,48
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,12528828.0,94,4,72
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M1200,15456696.84,94,16,92
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Nvidia GeForce 930M,12475476.0,81,28,62
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  2TB HDD,AMD Radeon 530,8633242.8,98,5,6
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,2863135.08,35,9,38
Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,8883108.0,70,9,68
Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,4956134.04,68,21,48
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,12688884.0,71,16,48
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,3903588.0,50,25,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8402940.0,68,16,48
Intel Core i5 7200U 2.5GHz,6,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,6393348.0,68,4,78
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,5681988.0,68,9,48
Intel Core i3 6006U 2GHz,8,256GB SSD,Nvidia GeForce 920MX ,4437108.0,50,16,61
Intel Pentium Quad Core N3710 1.6GHz,8,2TB HDD,Intel HD Graphics 405,3458988.0,102,21,37
Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,9647820.0,76,4,6
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,7193628.0,70,4,68
Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R7 M445,7993908.0,89,16,26
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,15561000.0,89,16,48
Intel Core i7 7500U 2.7GHz,12,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,9772308.0,89,31,67
AMD A9-Series 9420 3GHz,4,128GB SSD,AMD Radeon R5,3787992.0,14,3,16
AMD Ryzen 1700 3GHz,16,256GB SSD +  1TB HDD,AMD Radeon RX 580,19553508.0,25,17,33
AMD A8-Series 7410 2.2GHz,4,128GB SSD,AMD Radeon R5,4348188.0,12,3,16
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,7727236.92,98,16,55
AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,4348099.08,14,16,16
Intel Celeron Quad Core N3450 1.1GHz,4,128GB SSD,Intel HD Graphics 500,4917276.0,38,3,38
Intel Celeron Dual Core N3060 1.60GHz,4,500GB HDD,Intel HD Graphics 400,2747628.0,33,25,36
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2543112.0,35,22,38
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,7522632.0,94,9,68
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,10590372.0,94,4,68
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3587922.0,50,3,42
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,14716260.0,94,4,72
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,9772308.0,68,16,66
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,15551218.8,89,28,48
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,20291544.0,89,28,48
Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,4881708.0,53,3,48
Intel Core i5 6440HQ 2.6GHz,8,500GB HDD,AMD FirePro W5130M,12173148.0,66,25,2
Intel Core i7 6820HQ 2.7GHz,8,256GB SSD,Nvidia Quadro M1200,18984420.0,86,16,92
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,22310028.0,89,28,48
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,9238788.0,94,9,68
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,14147172.0,94,17,69
Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce MX130,6170959.08,76,9,89
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,11995308.0,94,16,69
Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R7 M445,6925712.04,89,16,26
AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon 520,4437108.0,14,16,5
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon RX 550,10933247.52,98,16,31
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8340696.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M1200,24115104.0,94,16,92
Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,23341500.0,89,12,48
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,2720952.0,35,9,38
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,13595868.0,94,17,68
Intel Core i5 8250U 1.6GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 550,10176894.0,76,17,31
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,7816068.0,94,16,68
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,19998108.0,94,17,73
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,16654716.0,89,28,48
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,15534324.0,81,28,42
Intel Core i7 7600U 2.8GHz,8,512GB SSD,Intel HD Graphics,14938560.0,91,28,35
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,3636828.0,50,25,42
Intel Celeron Dual Core N3350 1.1GHz,2,32GB Flash Storage,Intel HD Graphics 500,2707169.4,35,22,38
Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia Quadro M1200,17117100.0,94,28,92
Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia GeForce GT 940MX,17277156.0,94,28,67
Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon 520,4170348.0,50,9,5
Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,7015876.92,81,16,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8251776.0,68,16,48
Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,5325418.8,68,16,21
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,6126588.0,50,3,42
Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,13338000.0,81,16,42
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,4801235.4,68,9,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon RX 550,10807158.96,98,16,31
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,16885908.0,94,28,68
Intel Celeron Quad Core N3450 1.1GHz,6,64GB Flash Storage,Intel HD Graphics 500,3992508.0,38,33,38
Intel Core i7 7820HQ 2.9GHz,8,256GB SSD,Intel HD Graphics 630,12688884.0,96,16,49
Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,5308524.0,53,9,66
Intel Core i7 7820HK 2.9GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,24888708.0,95,17,73
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,10305828.0,94,4,69
Intel Core i7 8550U 1.8GHz,8,256GB SSD +  2TB HDD,AMD Radeon 530,10158220.8,98,19,6
Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel HD Graphics 620,9772308.0,91,16,48
Intel Core i7 7700HQ 2.8GHz,12,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,17775108.0,94,17,73
Intel Celeron Dual Core N3350 1.1GHz,4,32GB SSD,Intel HD Graphics 500,2658708.0,35,24,38
Intel Celeron Dual Core N3060 1.6GHz,4,16GB Flash Storage,Intel HD Graphics 400,2391948.0,34,6,36
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,8980920.0,89,16,48
Intel Core i3 7130U 2.7GHz,4,128GB SSD,Intel HD Graphics 620,5326308.0,54,3,48
Intel Core i7 7600U 2.8GHz,16,512GB SSD,Nvidia GeForce 940MX,21740940.0,91,28,66
Intel Core i7 7820HQ 2.9GHz,16,512GB SSD,Nvidia Quadro M2200M,21776508.0,96,28,95
AMD Ryzen 1600 3.2GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,15071940.0,24,17,33
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,3085524.0,34,25,36
Intel Core i7 7Y75 1.3GHz,16,512GB SSD,Intel HD Graphics 615,19553508.0,97,28,47
Intel Core i7 7500U 2.7GHz,24,512GB SSD,Intel HD Graphics 620,21180744.0,89,28,48
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,4970628.0,68,16,48
AMD A6-Series 9220 2.5GHz,8,1TB HDD,AMD Radeon R4,4614948.0,9,9,14
Intel Core i5 8250U 1.6GHz,4,256GB SSD,AMD Radeon 530,6660108.0,76,16,6
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,12706668.0,68,16,48
Intel Pentium Quad Core N4200 1.1GHz,4,128GB SSD,Intel HD Graphics 505,3103308.0,103,3,39
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9772308.0,94,4,68
Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Nvidia GeForce 930MX,10483668.0,72,16,63
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,3928485.6,68,25,48
Intel Xeon E3-1505M V6 3GHz,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,17721756.0,104,34,97
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,9138664.08,70,16,68
Intel Core i7 7660U 2.5GHz,16,512GB SSD,Intel Iris Plus Graphics 640,23021388.0,92,28,52
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,5237388.0,68,3,48
Intel Core i7 6820HQ 2.7GHz,16,256GB SSD,Nvidia Quadro M620,17561700.0,86,16,97
Intel Core i7 7820HQ 2.9GHz,8,512GB SSD,Intel HD Graphics 620,13640328.0,96,28,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,11959740.0,68,16,48
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,8705268.0,98,4,6
Intel Pentium Quad Core N3710 1.6GHz,4,500GB HDD,Intel HD Graphics 405,4259268.0,102,25,37
Intel Core i7 7700HQ 2.7GHz,8,1TB HDD,Nvidia GeForce GTX 1060,18193032.0,93,9,72
Intel Core M m3-7Y30 2.2GHz,4,128GB SSD,Intel HD Graphics 615,8794188.0,46,3,47
Intel Core i7 7660U 2.5GHz,8,256GB SSD,Intel Iris Plus Graphics 640,15996708.0,92,16,52
Intel Core i3 6006U 2GHz,8,256GB SSD,Intel HD Graphics 520,5689990.8,50,16,42
Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 940MX,4837248.0,50,9,66
Intel Celeron Dual Core N3060 1.6GHz,4,128GB SSD,Intel HD Graphics 400,3868020.0,34,3,36
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,6660108.0,68,9,48
Intel Core i7 7500U 2.7GHz,8,512GB SSD,AMD Radeon R7 M460,7104708.0,89,28,27
Intel Core i7 7820HQ 2.9GHz,8,256GB SSD,Nvidia Quadro M2200M,18584280.0,96,16,95
Intel Pentium Quad Core N4200 1.1GHz,4,500GB HDD,Intel HD Graphics 500,2703168.0,103,25,38
Intel Core i3 6006U 2GHz,4,500GB HDD,Nvidia GeForce GTX 940MX,4170348.0,50,25,78
Intel Core i5 8250U 1.6GHz,8,2TB HDD,AMD Radeon 530,6749028.0,76,21,6
Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1060,15107508.0,94,9,72
Intel Core i7 6600U 2.6GHz,12,256GB SSD,Intel HD Graphics 520,16521336.0,83,16,42
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,17775108.0,98,28,55
Intel Core i5 7200U 2.5GHz,8,500GB HDD,AMD FirePro W4190M ,10261368.0,68,25,1
Intel Core i5 7Y57 1.2GHz,8,128GB SSD,Intel HD Graphics 615,11337300.0,75,3,47
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,16377730.2,76,16,55
Intel Core i7 6700HQ 2.6GHz,12,128GB SSD +  1TB HDD,Intel HD Graphics 530,11550708.0,84,4,43
Intel Core i3 6100U 2.3GHz,8,128GB SSD,Intel HD Graphics 520,6580080.0,52,3,42
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M1200,21411936.0,94,16,92
Intel Core i5 7200U 2.5GHz,8,1GB SSD,Intel HD Graphics 620,12128688.0,68,8,48
Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,6002100.0,76,9,5
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,14867424.0,68,16,48
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Nvidia GeForce 940MX,11221704.0,98,28,66
Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,5216047.2,53,9,48
Intel Core i5 8250U 1.6GHz,4,128GB SSD,Intel UHD Graphics 620,6455592.0,76,3,55
Intel Atom x5-Z8350 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,2213218.8,28,33,35
Intel Core i3 6006U 2.0GHz,4,128GB SSD,Intel HD Graphics 520,5023980.0,48,3,42
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,9327708.0,76,16,55
Intel Core i7 6820HQ 2.7GHz,16,512GB SSD,Nvidia Quadro M620,20789496.0,86,28,97
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,16885908.0,94,28,68
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,15987816.0,89,28,48
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,17339400.0,89,28,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,8998615.08,68,16,66
Intel Core i7 7500U 2.7GHz,32,512GB SSD,Intel HD Graphics 620,24888708.0,89,28,48
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,12004200.0,94,4,68
AMD A10-Series 9620P 2.5GHz,8,1TB HDD,AMD Radeon RX 540,5148468.0,2,9,30
Intel Core i7 6700HQ 2.6GHz,24,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,11283948.0,84,17,83
Intel Core i5 6200U 2.3GHz,8,1GB SSD,Intel HD Graphics 520,9772308.0,62,8,42
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,7993018.8,98,16,55
Intel Core i7 7600U 2.8GHz,8,1TB SSD,Intel HD Graphics 620,15552108.0,91,12,48
Intel Core i3 7100U 2.4GHz,8,256GB SSD,Intel HD Graphics 620,8438508.0,53,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8100612.0,68,16,48
Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,3023280.0,35,33,38
Intel Core i5 7200U 2.5GHz,8,256GB SSD,AMD Radeon 520,5504059.08,68,16,5
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,14218308.0,76,16,55
Intel Celeron Dual Core N3350 1.1GHz,4,500GB HDD,Intel HD Graphics 500,2658708.0,35,25,38
Intel Celeron Dual Core N3060 1.6GHz,4,16GB SSD,Intel HD Graphics 400,2356380.0,34,7,36
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8438508.0,68,16,48
